Year,Country_Name,Nbr_Cars,Nbr_Commercial_Vehicle,Total,Percent_Change,Continent,Lower CI,Upper CI
2002-01-01,Australia,306876.0,36996.0,343872.0,7.7%,Oceania,,
2002-01-01,Austria,132768.0,19851.0,152619.0,-1.8%,Europe,,
2002-01-01,Belgium,936903.0,120286.0,1057189.0,-11.0%,Europe,,
2002-01-01,Brazil,1520285.0,271245.0,1791530.0,-1.4%,South America,,
2002-01-01,Canada,1369042.0,1260395.0,2629437.0,3.8%,North America,,
2002-01-01,China,1101696.0,2185108.0,3286804.0,40.8%,Asia,,
2002-01-01,Czechia,441312.0,5776.0,447088.0,-3.9%,Europe,,
2002-01-01,Egypt,27422.0,17751.0,45173.0,-19.5%,Africa,,
2002-01-01,Finland,41068.0,393.0,41461.0,-2.0%,Europe,,
2002-01-01,France,3292797.0,309073.0,3601870.0,-0.7%,Europe,,
2002-01-01,Germany,5123238.0,346071.0,5469309.0,-3.9%,Europe,,
2002-01-01,Hungary,138239.0,3274.0,141513.0,-1.9%,Europe,,
2002-01-01,India,703948.0,190848.0,894796.0,9.8%,Asia,,
2002-01-01,Indonesia,193492.0,105765.0,299257.0,7.2%,Asia,,
2002-01-01,Iran,439116.0,12959.0,452075.0,39.9%,Asia,,
2002-01-01,Italy,1125769.0,301312.0,1427081.0,-9.7%,Europe,,
2002-01-01,Japan,8618354.0,1638961.0,10257315.0,4.9%,Asia,,
2002-01-01,Malaysia,380000.0,15380.0,395380.0,10.2%,Asia,,
2002-01-01,Mexico,960097.0,844573.0,1804670.0,-2.0%,North America,,
2002-01-01,Netherlands,182368.0,48923.0,231291.0,-3.2%,Europe,,
2002-01-01,Poland,287534.0,23598.0,311132.0,-10.6%,Europe,,
2002-01-01,Portugal,182573.0,68259.0,250832.0,4.6%,Europe,,
2002-01-01,Romania,65266.0,14190.0,79456.0,15.6%,Europe,,
2002-01-01,Russia,980061.0,239689.0,1219750.0,-2.5%,Europe,,
2002-01-01,Serbia,10271.0,1701.0,11972.0,33.3%,Europe,,
2002-01-01,Slovakia,225442.0,276.0,225718.0,24.0%,Europe,,
2002-01-01,Slovenia,126661.0,0.0,126661.0,9.1%,Europe,,
2002-01-01,South africa,276499.0,127942.0,404441.0,-0.6%,Africa,,
2002-01-01,South korea,2651273.0,496311.0,3147584.0,6.8%,Asia,,
2002-01-01,Spain,2266902.0,588337.0,2855239.0,0.2%,Europe,,
2002-01-01,Sweden,237975.0,38218.0,276193.0,-4.5%,Europe,,
